Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus	13.505834	13.976852	13.252178	12.904707	10.79568	8.190569	12.207	12.256514	11.163233
Tetragenococcus	0.009535	0.009622	0.012415	0.008526	0.033622	0.007657	0.000681	0.007645	0
Vagococcus	0.003322	0.009396	0.006079	0.000725	8e-05	0.000805	9.6e-05	0.001024	0
Melissococcus	0.000861	0.001453	0.001448	0.000342	0.008714	9.9e-05	0.000131	0.000619	0
Streptococcus	7.689463	7.823081	7.318334	7.005475	6.715695	5.820836	4.653053	7.650898	5.256793
Lactococcus	0.087461	0.052342	0.094892	0.070072	0.13342	0.013209	0.017149	0.03048	0
Lactobacillus	5.776647	6.676077	6.462855	6.302801	6.180336	6.76978	8.652073	6.32765	5.732231
Pediococcus	1.693047	1.661286	1.672135	1.583676	0.960327	1.643784	1.927763	1.810584	1.172865
Leuconostoc	0.592852	0.579169	0.603876	0.577435	0.87141	0.598917	0.736637	0.142015	0.421391
Weissella	0.039463	0.037117	0.042292	0.03364	0.051404	0.014353	0.010326	0.005432	0.007826
Oenococcus	0.000354	0.000452	0.000745	0.000164	0.004437	0.001837	0.000753	8e-06	0
Aerococcus	0.01378	0.009703	0.015541	0.011003	0.02055	0.001017	0.000359	0.003814	0
Carnobacterium	0.004491	0.01043	0.011698	0.007678	0.022588	0.011627	0.010863	0.006778	0
Marinilactibacillus	0.000784	0.002373	0.002351	0.001095	0	0.000212	0.000251	0	0
Jeotgalibaca	0.000492	0.001663	0.005376	0.003025	0	0.000127	1.2e-05	0.00014	0
Staphylococcus	13.429169	13.257771	12.706981	12.258624	11.092059	10.658258	10.240839	14.221803	11.135591
Macrococcus	0.000384	0.001292	0.001577	0.000356	0.001332	0.001625	0.000215	5e-05	0
Salinicoccus	7.7e-05	6.5e-05	0.000158	0.000123	0.000827	0.000537	0.000108	0	0
Auricoccucs	3.1e-05	0	0	0	0	0	0	0	0
Exiguobacterium	0.572613	0.508518	0.628018	0.818334	0.435986	1.16773	0.269885	0.640662	1.181237
Gemella	0.001215	0.001501	0.002939	0.000287	0.002086	0.000565	0.001052	0	0.002104
Bacillus	0.057164	0.076301	0.073273	0.080678	0.167668	0.08941	0.030869	0.043995	0.058779
Amphibacillus	0.000692	5e-04	0.001348	0.000958	0.002054	0.000664	1.2e-05	0.00038	0
Virgibacillus	0.000584	0.001808	0.002365	0.000588	0.001452	0.001328	0.00037	9.1e-05	0
Lysinibacillus	0.000584	0.007814	0.002652	0.000931	0.012606	0.001808	0.000932	0.000165	0
Geobacillus	0.000569	0.001566	0.001333	0.000205	0.006275	0.001879	0.000908	0.000107	0
Terribacillus	2e-04	0.000533	0.000387	5.5e-05	0.001003	0.000113	3.6e-05	1.7e-05	0
