Species	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus faecium	8.413859	9.042296	8.024066	7.989234	4.851132	1.102706	7.935578	9.734855	4.246355
Streptococcus anginosus	3.4048	3.406636	3.185875	3.032768	3.094028	0.203584	0.463827	3.312278	4.062736
Lactobacillus paracasei	0.068491	0.050047	0.070137	0.118958	0.140808	0.018753	0.04561	0.023479	0.175423
Lactobacillus ruminis	0.187876	0.180854	0.178401	0.178613	0.097412	0.107687	0.172227	0.223693	0.274157
Lactobacillus rhamnosus	0.070127	0.072516	0.064134	0.063742	0.12289	0.02924	0.032996	0.081119	0.052134
Pediococcus acidilactici	1.922433	1.948366	1.834564	1.811487	0.851058	3.209852	2.293558	2.272369	2.729296
Leuconostoc mesenteroides	0.581137	0.5133	0.54412	0.532329	0.746813	0.755678	0.665821	0.081544	0.451576
Bifidobacterium longum	0.561405	0.545136	0.51507	0.490385	0.499064	0.154554	0.492568	0.55969	0.186673
Bifidobacterium bifidum	0.516858	0.489999	0.510049	0.486875	0.700325	0.195141	0.360735	0.548583	0.515988
Bifidobacterium breve	0.158243	0.181319	0.21664	0.212047	0.199276	0.121581	0.15322	0.206071	0.206298
Citrobacter freundii	0.129037	0.038338	0.06172	0.062412	0.148336	0.006044	0.010453	0.06508	0.000786
Bacteroides ovatus	0.270677	0.270981	0.411812	0.35386	0.712337	0.090949	0.058639	0.003954	3e-05
Bacteroides fragilis	0.145924	0.242377	0.396104	0.380018	0.412272	0.163768	0.276345	0.262924	0
Bacteroides caccae	0.116131	0.127653	0.29769	0.253655	0.001154	0.038631	0.02071	0.17343	0.001572
