# Species profiles of 106 subjects with or without inflammatory bowel diseases  from the Integrative Human Microbiome Project (iHMP)																																																																																																										
Species	crohn_SRR5935743	crohn_SRR5935744	crohn_SRR5935746	crohn_SRR5935752	crohn_SRR5935753	crohn_SRR5935754	crohn_SRR5935755	crohn_SRR5935756	crohn_SRR5935757	crohn_SRR5935760	crohn_SRR5935763	crohn_SRR5935765	crohn_SRR5935779	crohn_SRR5935780	crohn_SRR5935794	crohn_SRR5935804	crohn_SRR5935806	crohn_SRR5935809	crohn_SRR5935811	crohn_SRR5935822	crohn_SRR5935823	crohn_SRR5935829	crohn_SRR5935832	crohn_SRR5935834	crohn_SRR5935845	crohn_SRR5935846	crohn_SRR5935847	crohn_SRR5935871	crohn_SRR5935874	crohn_SRR5935880	crohn_SRR5935882	crohn_SRR5935902	crohn_SRR5935913	crohn_SRR5935921	crohn_SRR5935934	crohn_SRR5935980	crohn_SRR5936001	crohn_SRR5936100	crohn_SRR5936151	crohn_SRR5946767	crohn_SRR5946778	crohn_SRR5946790	crohn_SRR5946801	crohn_SRR5946811	crohn_SRR5946813	crohn_SRR5946820	crohn_SRR5946826	crohn_SRR5946845	crohn_SRR5946908	crohn_SRR5950274	uc_SRR5935741	uc_SRR5935742	uc_SRR5935748	uc_SRR5935750	uc_SRR5935751	uc_SRR5935758	uc_SRR5935761	uc_SRR5935767	uc_SRR5935775	uc_SRR5935776	uc_SRR5935785	uc_SRR5935789	uc_SRR5935792	uc_SRR5935799	uc_SRR5935814	uc_SRR5935815	uc_SRR5935859	uc_SRR5935881	uc_SRR5946763	uc_SRR5946802	uc_SRR5946809	uc_SRR5946810	uc_SRR5946830	uc_SRR5946832	uc_SRR5946836	uc_SRR5946852	uc_SRR5946862	uc_SRR5946888	uc_SRR5949148	uc_SRR5950258	healthy_SRR5935740	healthy_SRR5935745	healthy_SRR5935747	healthy_SRR5935749	healthy_SRR5935768	healthy_SRR5935770	healthy_SRR5935771	healthy_SRR5935773	healthy_SRR5935774	healthy_SRR5935778	healthy_SRR5935781	healthy_SRR5935784	healthy_SRR5935788	healthy_SRR5935793	healthy_SRR5935797	healthy_SRR5935798	healthy_SRR5935843	healthy_SRR5935849	healthy_SRR5935851	healthy_SRR5935929	healthy_SRR5935963	healthy_SRR5935968	healthy_SRR5936010	healthy_SRR5946780	healthy_SRR5946828	healthy_SRR5946891
11861_6_55	0.003	0.015	0.004	0.003	0.003	0.002	0.002	0.002	0.002	0.005	0.002	0.003	0.004	0.006	0.006	0.009	0.001	0.000	0.004	0.003	0.002	0.001	0.002	0.001	0.003	0.003	0.006	0.004	0.006	0.000	0.003	0.002	0.002	0.002	0.002	0.001	0.008	0.002	0.002	0.004	0.006	0.004	0.001	0.002	0.001	0.004	0.004	0.003	0.013	0.004	0.003	0.005	0.001	0.001	0.005	0.003	0.003	0.001	0.003	0.004	0.003	0.004	0.002	0.003	0.002	0.003	0.003	0.002	0.003	0.002	0.002	0.012	0.005	0.003	0.002	0.001	0.003	0.002	0.006	0.013	0.006	0.001	0.001	0.005	0.004	0.001	0.004	0.007	0.004	0.002	0.003	0.002	0.003	0.002	0.004	0.003	0.004	0.002	0.004	0.002	0.001	0.001	0.003	0.002	0.001	0.002
11861_6_58	0.000	0.032	0.009	0.003	0.002	0.015	0.020	0.015	0.010	0.007	0.008	0.040	0.017	0.005	0.005	0.021	0.027	0.256	0.003	0.011	0.011	0.008	0.035	0.024	0.031	0.003	0.142	0.005	0.060	0.009	0.096	0.012	0.003	0.023	0.058	0.088	0.031	0.000	0.009	0.020	0.011	0.005	0.007	0.039	0.020	0.008	0.005	0.002	0.002	0.053	0.007	0.002	0.071	0.084	0.008	0.007	0.006	0.015	0.015	0.054	0.018	0.006	0.234	0.025	0.010	0.023	0.013	0.078	0.005	0.004	0.009	0.015	0.028	0.091	0.007	0.009	0.100	0.014	0.112	0.099	0.007	0.011	1.008	0.006	0.045	0.025	0.018	0.011	0.027	0.009	0.089	0.015	0.008	0.002	0.073	0.022	0.016	0.007	0.006	0.008	0.006	0.002	0.033	0.006	0.003	0.007
11861_6_61	0.077	0.064	0.844	0.240	0.072	0.065	0.129	0.127	0.031	0.204	0.183	0.141	0.130	0.276	0.010	0.192	0.229	0.199	0.119	0.102	0.233	0.129	0.004	0.060	0.068	0.213	0.074	0.048	0.082	0.125	0.217	0.035	0.015	0.133	0.046	0.092	0.584	0.038	1.004	0.264	0.595	0.322	0.091	0.184	0.162	0.141	0.421	0.042	0.065	0.012	0.212	0.170	0.063	0.007	0.068	0.240	0.481	0.025	0.384	0.222	0.103	0.068	0.098	0.037	0.120	0.131	0.091	0.178	0.059	0.058	0.197	0.018	0.091	0.093	0.173	0.111	0.271	0.019	0.025	0.046	0.177	0.180	0.011	0.278	0.045	0.129	0.072	0.126	0.014	0.286	0.068	0.204	0.052	0.601	0.132	0.080	0.215	0.031	0.223	0.164	0.039	0.424	0.169	0.076	0.046	0.108
11861_6_63	0.003	0.141	0.133	0.019	0.721	0.080	0.309	0.333	0.202	0.583	0.149	0.033	0.134	0.618	0.004	0.392	1.012	0.289	0.106	0.729	0.053	1.366	0.004	0.500	0.043	0.108	0.111	0.018	0.102	0.045	0.196	0.107	0.075	1.400	0.137	0.281	0.431	0.010	1.014	0.293	0.047	0.140	0.020	1.099	0.540	0.127	0.033	0.049	0.416	0.010	0.159	0.173	0.773	0.002	0.085	0.138	0.104	0.007	0.914	0.305	0.069	0.355	0.216	0.182	0.025	0.409	0.162	1.565	0.013	0.114	0.306	0.021	0.175	0.486	0.600	0.205	0.209	0.082	0.024	0.006	0.573	2.478	0.005	0.463	0.057	0.530	0.278	0.330	0.016	1.360	0.096	0.306	0.048	1.459	0.266	0.279	0.943	0.554	0.089	0.875	0.184	0.642	0.030	0.137	0.382	0.526
11861_6_65	0.003	0.010	0.092	0.014	0.019	0.033	0.044	0.024	0.013	0.032	0.028	0.437	0.023	0.111	0.019	0.023	0.027	0.018	0.013	0.016	0.010	0.046	0.027	0.027	0.054	0.042	0.106	0.006	0.017	0.058	0.027	0.020	0.009	0.094	0.108	0.027	0.020	0.012	0.024	0.039	0.021	0.014	0.017	0.015	0.094	0.027	0.014	0.008	0.063	0.010	0.031	0.082	0.041	0.017	0.018	0.022	0.041	0.013	0.017	0.019	0.017	0.020	0.067	0.029	0.020	0.019	0.009	0.048	0.011	0.016	0.014	0.014	0.064	0.050	0.015	0.025	0.021	0.013	0.038	0.019	0.024	0.028	0.046	0.016	0.033	0.033	0.031	0.015	0.026	0.041	0.011	0.067	0.013	0.021	0.034	0.027	0.027	0.022	0.019	0.027	0.015	0.030	0.015	0.015	0.010	0.025
12718_7_10	0.003	0.001	0.002	0.003	0.002	0.001	0.001	0.001	0.001	0.006	0.002	0.002	0.001	0.003	0.004	0.003	0.001	0.000	0.003	0.006	0.001	0.001	0.001	0.001	0.003	0.002	0.002	0.002	0.004	0.000	0.002	0.002	0.001	0.001	0.001	0.003	0.002	0.000	0.001	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.005	0.001	0.005	0.000	0.002	0.005	0.001	0.001	0.002	0.001	0.004	0.002	0.002	0.002	0.002	0.003	0.002	0.001	0.002	0.002	0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.002	0.003	0.001	0.002	0.001	0.000	0.001	0.005	0.001	0.002	0.008	0.003	0.001	0.002	0.002	0.001	0.002	0.000	0.002	0.002	0.003	0.003	0.001	0.002	0.002	0.002	0.002	0.001	0.001	0.002	0.001	0.001	0.002
12718_7_13	0.040	0.005	0.007	0.007	0.004	0.003	0.003	0.005	0.003	0.010	0.006	0.007	0.007	0.007	0.008	0.006	0.005	0.003	0.008	0.005	0.004	0.005	0.002	0.002	0.005	0.005	0.004	0.003	0.011	0.003	0.004	0.005	0.004	0.005	0.009	0.002	0.005	0.003	0.006	0.010	0.005	0.008	0.008	0.003	0.004	0.005	0.017	0.005	0.021	0.000	0.005	0.017	0.003	0.002	0.009	0.006	0.005	0.003	0.007	0.003	0.005	0.009	0.007	0.004	0.004	0.005	0.003	0.005	0.005	0.003	0.004	0.003	0.005	0.004	0.014	0.002	0.006	0.005	0.000	0.000	0.007	0.003	0.006	0.016	0.015	0.004	0.004	0.010	0.003	0.004	0.002	0.005	0.007	0.003	0.006	0.004	0.017	0.008	0.005	0.005	0.003	0.002	0.006	0.002	0.005	0.005
12718_7_14	0.057	0.011	0.015	0.036	0.018	0.007	0.010	0.016	0.010	0.017	0.012	0.017	0.025	0.029	0.022	0.013	0.011	0.014	0.030	0.019	0.015	0.013	0.003	0.008	0.018	0.018	0.011	0.011	0.020	0.006	0.014	0.023	0.007	0.013	0.013	0.010	0.014	0.012	0.018	0.018	0.015	0.027	0.015	0.006	0.013	0.019	0.028	0.016	0.023	0.003	0.013	0.026	0.007	0.005	0.027	0.018	0.021	0.009	0.013	0.012	0.012	0.015	0.016	0.008	0.009	0.013	0.011	0.020	0.015	0.010	0.011	0.007	0.017	0.013	0.016	0.008	0.023	0.015	0.001	0.010	0.008	0.009	0.013	0.022	0.019	0.009	0.009	0.028	0.008	0.010	0.013	0.010	0.025	0.007	0.015	0.013	0.021	0.019	0.017	0.017	0.005	0.005	0.013	0.007	0.013	0.015
12718_7_15	0.081	0.006	0.015	0.016	0.010	0.005	0.007	0.008	0.006	0.017	0.010	0.010	0.015	0.011	0.016	0.010	0.007	0.007	0.015	0.013	0.006	0.008	0.004	0.006	0.010	0.010	0.011	0.006	0.015	0.004	0.010	0.016	0.006	0.009	0.009	0.007	0.011	0.007	0.009	0.011	0.007	0.015	0.008	0.005	0.006	0.010	0.030	0.006	0.015	0.002	0.015	0.017	0.004	0.005	0.014	0.010	0.010	0.008	0.008	0.010	0.007	0.012	0.011	0.006	0.005	0.009	0.005	0.009	0.005	0.006	0.006	0.004	0.006	0.011	0.008	0.007	0.013	0.004	0.001	0.003	0.008	0.004	0.016	0.021	0.027	0.005	0.006	0.019	0.005	0.005	0.005	0.012	0.006	0.005	0.010	0.008	0.018	0.010	0.013	0.009	0.005	0.004	0.010	0.003	0.004	0.008
12718_7_17	0.060	0.012	0.022	0.041	0.022	0.009	0.016	0.016	0.009	0.026	0.010	0.023	0.021	0.020	0.015	0.016	0.013	0.015	0.029	0.025	0.015	0.014	0.009	0.010	0.013	0.021	0.014	0.009	0.036	0.009	0.019	0.027	0.011	0.020	0.009	0.010	0.020	0.039	0.018	0.017	0.011	0.033	0.014	0.007	0.010	0.023	0.035	0.012	0.017	0.004	0.016	0.027	0.007	0.004	0.027	0.024	0.023	0.007	0.018	0.012	0.013	0.025	0.020	0.010	0.011	0.015	0.017	0.022	0.014	0.010	0.014	0.012	0.015	0.018	0.017	0.011	0.027	0.012	0.003	0.001	0.016	0.010	0.024	0.019	0.018	0.011	0.014	0.020	0.014	0.015	0.010	0.019	0.009	0.009	0.017	0.012	0.019	0.018	0.020	0.025	0.007	0.010	0.016	0.008	0.011	0.017
