"","qname","rname_refseq","qalign_to_refseq","ani_to_refseq","mash_to_refseq","rname_train","qalign_to_train","ani_to_train","mash_to_train"
"1","GCA_002292065.1_ASM229206v1_genomic.fna","GCF_002165255.2_ASM216525v2_genomic.fna",39.38,85.86,0.14,"label_GCF_000162075.fa",32.46,84.96,0.19
"2","GCA_002293435.1_ASM229343v1_genomic.fna","GCF_001318345.1_ASM131834v1_genomic.fna",22.19,83.72,0.21,"label_UMGS1236.fa",24.55,84.26,0.2
"3","GCA_002296735.1_ASM229673v1_genomic.fna","GCF_000737885.1_ASM73788v1_genomic.fna",40.4,87.26,0.14,"label_18391_1_7.fa",40.1,87.28,0.15
"4","GCA_002297405.1_ASM229740v1_genomic.fna","GCF_000737885.1_ASM73788v1_genomic.fna",42.32,87.05,0.17,"label_GCF_000172135.fa",30.54,86.4,0.18
"5","GCA_002298605.1_ASM229860v1_genomic.fna","GCF_000010425.1_ASM1042v1_genomic.fna",15.09,85.18,0.21,"label_18391_1_7.fa",14.97,85.17,0.22
"6","GCA_002298645.1_ASM229864v1_genomic.fna","GCF_000737885.1_ASM73788v1_genomic.fna",41.62,86.92,0.15,"label_18391_1_7.fa",41.77,86.92,0.15
"7","GCA_002298805.1_ASM229880v1_genomic.fna","GCF_001022195.1_ASM102219v1_genomic.fna",30.27,84.2,0.16,"label_20298_2_67.fa",30.96,84.17,0.17
"8","GCA_002299595.1_ASM229959v1_genomic.fna","GCF_002953195.1_ASM295319v1_genomic.fna",33.81,84.22,0.16,"label_UMGS970.fa",43.54,84.9,0.18
"9","GCA_002300045.1_ASM230004v1_genomic.fna","GCF_000441535.1_ASM44153v1_genomic.fna",27.71,87.09,0.15,"label_18391_1_11.fa",28.46,86.85,0.15
"10","GCA_002305035.1_ASM230503v1_genomic.fna","GCF_002736145.1_ASM273614v1_genomic.fna",11.45,84.52,0.22,"label_GCF_900046475.fa",36.84,87.17,0.15
"11","GCA_002308415.1_ASM230841v1_genomic.fna","GCF_002850575.1_ASM285057v1_genomic.fna",58.25,85.95,0.13,"label_GCF_000155995.fa",57.93,85.98,0.14
"12","GCA_002311155.1_ASM231115v1_genomic.fna","GCF_001543345.1_ASM154334v1_genomic.fna",17.31,85.25,0.2,"label_13414_6_49.fa",18.29,85.41,0.2
