"Supplementary Table S1. Metadata of the 2,505 genomes used as reference to train the species classification model",,,,,,,,,,,,,
Genome,Source,Species label,Assignment level1,Phylum,Class,Order,Family,Genus,Species2, Genome size (bp) ,# Contigs, N50 (bp) ,GC (%)
11861_6_55,HGR,0,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,221,717 ",124," 47,870 ",28.25
11861_6_58,HGR,1,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 4,441,003 ",69," 210,803 ",42.60
11861_6_61,HGR,2,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-," 2,376,935 ",12," 417,232 ",55.95
11861_6_63,HGR,3,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-," 3,234,232 ",18," 557,292 ",58.52
11861_6_65,HGR,4,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 3,707,250 ",65," 173,568 ",54.19
12718_7_10,HGR,5,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,932,530 ",20," 584,818 ",28.59
12718_7_13,HGR,6,Genus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,-," 2,823,639 ",31," 121,380 ",32.65
12718_7_14,HGR,7,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-," 2,017,471 ",16," 266,288 ",35.52
12718_7_15,HGR,8,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-," 1,972,012 ",38," 93,501 ",34.34
12718_7_17,HGR,9,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-," 2,221,226 ",135," 33,382 ",39.79
12718_7_21,HGR,10,Family,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,NA,-," 2,726,916 ",53," 74,967 ",31.83
12718_7_23,HGR,11,Genus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,-," 2,927,652 ",11," 601,381 ",32.39
12718_7_24,HGR,12,Genus,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,-," 4,055,810 ",13," 1,079,697 ",43.87
12718_7_29,HGR,13,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 6,374,953 ",26," 589,449 ",42.15
12718_7_37,HGR,14,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,-," 4,621,416 ",68," 124,942 ",42.54
12718_7_39,HGR,15,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 4,567,291 ",60," 209,578 ",28.52
12718_7_3,HGR,16,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,-," 4,889,793 ",27," 397,865 ",55.32
12718_7_41,HGR,17,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,569,277 ",41," 111,345 ",45.30
12718_7_46,HGR,18,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-," 2,178,650 ",30," 139,113 ",59.71
12718_7_47,HGR,19,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,285,306 ",13," 460,715 ",43.20
12718_7_49,HGR,20,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,-," 4,955,949 ",49," 214,382 ",56.16
12718_7_50,HGR,21,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,-," 4,837,544 ",11," 1,434,765 ",54.51
12718_7_51,HGR,22,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,-," 5,327,923 ",80," 109,611 ",45.75
12718_7_56,HGR,23,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-," 1,925,070 ",93," 42,986 ",41.83
12718_7_59,HGR,24,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-," 1,947,461 ",36," 100,294 ",40.13
12718_7_70,HGR,25,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-," 2,007,573 ",16," 479,072 ",42.22
12718_7_72,HGR,26,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,963,674 ",21," 255,503 ",54.39
12718_7_73,HGR,27,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 6,966,200 ",22," 535,844 ",47.90
12718_7_7,HGR,28,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,-," 4,631,976 ",20," 383,254 ",55.45
12718_7_81,HGR,29,Family,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,NA,-," 3,202,836 ",103," 59,141 ",30.21
12718_7_84,HGR,30,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 3,063,217 ",21," 304,438 ",56.44
12718_7_87,HGR,31,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-," 2,135,140 ",11," 360,696 ",41.65
12718_7_89,HGR,32,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-," 2,885,462 ",29," 159,110 ",63.14
12718_7_92,HGR,33,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,550,643 ",40," 191,307 ",47.83
12718_7_94,HGR,34,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,270,962 ",47," 105,136 ",43.07
12718_7_9,HGR,35,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,643,390 ",24," 2,249,377 ",28.15
13154_4_43,HGR,36,Genus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,-," 2,824,738 ",27," 300,583 ",33.06
13414_6_10,HGR,37,Family,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,NA,-," 2,532,364 ",163," 29,881 ",34.16
13414_6_12,HGR,38,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,-," 2,395,159 ",42," 116,897 ",58.19
13414_6_14,HGR,39,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,459,729 ",19," 391,873 ",36.66
13414_6_15,HGR,40,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,996,731 ",71," 156,284 ",45.68
13414_6_17,HGR,41,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,-," 3,326,529 ",26," 166,705 ",40.84
13414_6_20,HGR,42,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 4,023,593 ",47," 212,672 ",44.42
