"Supplementary Table S12. Read-level sensitivity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT1000,0.022,0.234,0.509,0.630,0.757
MAG-GUT1001,0.029,0.292,0.595,0.707,0.766
MAG-GUT10080,0.020,0.213,0.470,0.549,0.574
MAG-GUT10094,0.022,0.228,0.491,0.595,0.660
MAG-GUT10102,0.022,0.232,0.513,0.615,0.677
MAG-GUT10109,0.012,0.181,0.467,0.580,0.613
MAG-GUT10126,0.013,0.142,0.341,0.441,0.544
MAG-GUT1012,0.019,0.268,0.611,0.711,0.759
MAG-GUT10153,0.012,0.141,0.382,0.502,0.607
MAG-GUT1016,0.010,0.150,0.406,0.518,0.632
MAG-GUT10181,0.065,0.539,0.888,0.938,0.922
MAG-GUT10183,0.017,0.199,0.481,0.599,0.684
MAG-GUT1018,0.041,0.231,0.402,0.433,0.355
MAG-GUT1024,0.020,0.147,0.345,0.449,0.534
MAG-GUT10262,0.005,0.136,0.421,0.568,0.662
MAG-GUT1026,0.036,0.295,0.599,0.716,0.786
MAG-GUT10270,0.031,0.393,0.757,0.821,0.819
MAG-GUT1029,0.025,0.266,0.581,0.696,0.706
MAG-GUT1033,0.035,0.289,0.600,0.700,0.782
MAG-GUT10345,0.021,0.231,0.493,0.597,0.614
MAG-GUT10346,0.103,0.556,0.836,0.883,0.861
MAG-GUT10359,0.010,0.185,0.466,0.527,0.405
MAG-GUT1036,0.023,0.252,0.569,0.684,0.714
MAG-GUT10374,0.039,0.322,0.615,0.709,0.726
MAG-GUT10376,0.020,0.193,0.426,0.524,0.620
MAG-GUT1037,0.021,0.253,0.570,0.690,0.715
MAG-GUT10398,0.032,0.396,0.777,0.848,0.833
MAG-GUT103,0.036,0.254,0.508,0.593,0.620
MAG-GUT10417,0.043,0.283,0.514,0.602,0.631
MAG-GUT10454,0.036,0.278,0.546,0.626,0.653
MAG-GUT10478,0.023,0.280,0.607,0.714,0.738
MAG-GUT1047,0.022,0.246,0.552,0.673,0.687
MAG-GUT10488,0.051,0.373,0.633,0.682,0.630
MAG-GUT1049,0.039,0.232,0.380,0.421,0.361
MAG-GUT1050,0.038,0.231,0.396,0.422,0.363
MAG-GUT10512,0.025,0.236,0.506,0.605,0.653
MAG-GUT1052,0.022,0.256,0.572,0.691,0.716
MAG-GUT10537,0.015,0.170,0.389,0.474,0.569
MAG-GUT10541,0.018,0.214,0.507,0.608,0.588
MAG-GUT1054,0.019,0.164,0.360,0.472,0.602
MAG-GUT1055,0.026,0.259,0.568,0.686,0.706
MAG-GUT10562,0.012,0.146,0.381,0.502,0.596
MAG-GUT10584,0.040,0.321,0.605,0.693,0.712
MAG-GUT10593,0.070,0.578,0.929,0.964,0.953
MAG-GUT10599,0.067,0.547,0.850,0.885,0.874
MAG-GUT1059,0.020,0.159,0.365,0.478,0.605
MAG-GUT10606,0.044,0.324,0.597,0.679,0.709
MAG-GUT10612,0.017,0.166,0.378,0.481,0.566
MAG-GUT10617,0.019,0.193,0.420,0.510,0.614
MAG-GUT10625,0.035,0.401,0.786,0.839,0.840
MAG-GUT10629,0.047,0.347,0.652,0.743,0.760
MAG-GUT1062,0.021,0.251,0.567,0.679,0.703
MAG-GUT10635,0.011,0.185,0.475,0.568,0.577
MAG-GUT10653,0.037,0.303,0.575,0.668,0.685
MAG-GUT1065,0.020,0.152,0.362,0.466,0.606
MAG-GUT10701,0.012,0.177,0.480,0.622,0.725
MAG-GUT10717,0.019,0.219,0.477,0.564,0.591
MAG-GUT10734,0.021,0.236,0.526,0.634,0.679
MAG-GUT1077,0.025,0.258,0.563,0.681,0.703
MAG-GUT10786,0.014,0.159,0.360,0.470,0.571
MAG-GUT10793,0.017,0.219,0.525,0.626,0.601
MAG-GUT10807,0.014,0.223,0.528,0.637,0.608
MAG-GUT1081,0.013,0.221,0.507,0.627,0.674
MAG-GUT1082,0.046,0.399,0.695,0.726,0.645
MAG-GUT10835,0.052,0.298,0.521,0.597,0.585
MAG-GUT10839,0.013,0.243,0.568,0.665,0.758
MAG-GUT10849,0.017,0.182,0.400,0.512,0.605
MAG-GUT10866,0.018,0.182,0.396,0.506,0.593
MAG-GUT1086,0.053,0.394,0.672,0.714,0.642
MAG-GUT10881,0.048,0.354,0.650,0.743,0.757
MAG-GUT10883,0.018,0.254,0.613,0.724,0.757
MAG-GUT1088,0.021,0.256,0.572,0.672,0.700
MAG-GUT1089,0.020,0.159,0.361,0.475,0.609
MAG-GUT10909,0.021,0.216,0.496,0.584,0.649
MAG-GUT10928,0.019,0.186,0.355,0.439,0.509
MAG-GUT10982,0.014,0.233,0.541,0.656,0.745
MAG-GUT11004,0.011,0.164,0.419,0.525,0.553
