"Supplementary Table S2. Metadata of the 3,269 high quality MAGs used to benchmark the read-level specificity and sensitivity of different species classification models ",,,,,,,,,,,,,,,,,,,
MAG_ID_ENA,Completeness (%),Closest reference,Species label, Reference genome size (bp) ,Reference genome covered (%),CheckM lineage (reference),Phylum (reference),Class (reference),Order (reference),Family (reference),Genus (reference), MAG genome size (bp) ,MAG aligned to reference (%),ANI between MAG and reference (%),Mash distance between MAG and reference,Most similar reference covered (%),Reference aligned to most similar reference (%),ANI between reference and most similar reference (%),Mash distance between reference and most similar reference
MAG-GUT1000,91.64,20298_3_1,165," 2,484,103 ",90.57,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_acnes,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,403,539 ",93.65,97.58,0.02,39.42,43.38,84.88,0.18
MAG-GUT1001,97.85,GCF_000413335,428," 2,741,290 ",84.20,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,546,923 ",90.67,98.39,0.02,43.40,39.43,84.88,0.18
MAG-GUT10080,98.66,14207_7_9,112," 3,035,220 ",80.59,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,713,755 ",89.80,99.00,0.01,26.84,26.34,89.17,0.14
MAG-GUT10094,96.64,UMGS185,1450," 2,201,228 ",90.17,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,138,853 ",92.80,97.73,0.02,77.63,78.57,88.77,0.09
MAG-GUT10102,95.30,UMGS185,1450," 2,201,228 ",89.51,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,063,992 ",95.32,97.72,0.02,77.63,78.57,88.77,0.09
MAG-GUT10109,97.99,13414_6_3,50," 2,912,566 ",84.60,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 2,678,375 ",91.72,99.02,0.01,2.13,2.16,93.59,0.18
MAG-GUT10126,91.62,18048_1_70,121," 3,012,248 ",67.49,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,243,052 ",90.71,97.83,0.03,66.62,59.66,88.05,0.11
MAG-GUT1012,94.26,GCF_001025175,476," 2,269,415 ",83.21,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,040,111 ",92.54,98.92,0.01,42.94,52.81,90.19,0.11
MAG-GUT10153,99.62,21673_4_5,211," 3,315,322 ",90.34,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 3,214,634 ",92.92,98.48,0.02,2.95,3.53,96.98,0.17
MAG-GUT1016,94.35,GCF_000191845,335," 3,362,931 ",80.08,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella," 3,127,585 ",85.97,98.65,0.02,31.86,35.16,87.24,0.14
