Supplementary Table S3. Number of reads sampled from each whole-genome-sequenced bacterial isolates collected from human fecal samples,,,,,,,,,,,,
Run,Organism,Genus, Read count (mock 01) , Read count (mock 02) , Read count (mock 03) , Read count (mock 04) , Read count (mock 05) , Read count (mock 06) , Read count (mock 07) , Read count (mock 08) , Read count (mock 09) , Read count (mock 10) 
ERR1022275,uncultured Blautia sp.,Blautia," 1,946 ", 726 ," 4,555 "," 18,716 "," 1,686 "," 29,934 "," 2,653 "," 3,682 "," 11,515 "," 6,511 "
ERR1022282,Collinsella aerofaciens,Collinsella," 6,692 "," 6,321 "," 257,537 "," 5,258 "," 3,207 "," 372,812 "," 70,607 "," 21,094 "," 19,590 ", 831 
ERR1022283,Bifidobacterium adolescentis,Bifidobacterium, 306 ," 104,574 ", 89 , 125 , 473 ," 3,261 "," 28,633 "," 631,425 "," 8,948 "," 74,758 "
ERR1022285,Clostridium disporicum,Clostridium, 416 , 455 ," 9,368 "," 3,881 "," 17,198 "," 383,255 "," 64,082 ", 144 ," 18,237 "," 11,594 "
ERR1022293,Roseburia inulinivorans,Roseburia," 67,002 "," 3,720 ", 254 , 460 ," 34,790 ", 79 ," 11,183 "," 14,516 "," 3,633 "," 2,811 "
ERR1022294,uncultured Blautia sp.,Blautia, 980 ," 5,692 "," 3,138 ", 354 , 423 ," 30,240 "," 77,526 "," 7,414 "," 9,593 "," 76,669 "
ERR1022295,Blautia obeum,Blautia," 89,564 "," 17,995 "," 63,301 "," 31,644 "," 7,137 ", 487 ," 1,143 "," 7,555 "," 1,334 "," 241,730 "
ERR1022298,Bacteroides finegoldii,Bacteroides," 22,144 "," 2,704 "," 19,087 "," 3,653 "," 1,448 "," 1,333 "," 6,119 ", 98 ," 19,985 ", 45 
ERR1022300,Collinsella aerofaciens,Collinsella," 5,791 "," 231,170 "," 10,883 ", 205 ," 3,961 ", 184 ," 10,670 ", 459 ," 3,624 "," 1,525 "
ERR1022302,uncultured Blautia sp.,Blautia, 852 ," 3,309 "," 1,752 ", 952 ," 4,053 "," 6,100 "," 142,252 "," 21,995 ", 564 ," 1,684 "
ERR1022306,uncultured Blautia sp.,Blautia," 1,210 "," 10,069 ", 567 ," 10,438 "," 44,335 "," 489,043 ", 22 ," 1,165 "," 1,689 "," 3,382 "
ERR1022315,Blautia hydrogenotrophica,Blautia," 3,161 "," 31,116 ", 935 ," 2,648 "," 29,499 ", 192 ," 4,901 "," 42,472 "," 47,410 ", 951 
ERR1022316,uncultured Clostridium sp.,Clostridium, 293 ," 1,991 "," 5,868 "," 1,176 "," 6,409 "," 37,400 "," 6,013 "," 93,945 "," 33,644 ", 284 
ERR1022320,Bifidobacterium adolescentis,Bifidobacterium," 3,806 ", 546 ," 1,672 "," 1,237 "," 24,920 ", 213 ," 7,461 "," 3,660 ", 50 ," 4,298 "
ERR1022324,Dorea longicatena,Dorea, 636 ," 154,264 "," 1,036 "," 2,453 "," 20,516 "," 8,676 "," 13,938 "," 8,145 ", 17 ," 21,373 "
