Supplementary Table S4. True genus profiles of the ten mock communities,,,,,,,,,,
Genus,Abundance (mock 01),Abundance (mock 02),Abundance (mock 03),Abundance (mock 04),Abundance (mock 05),Abundance (mock 06),Abundance (mock 07),Abundance (mock 08),Abundance (mock 09),Abundance (mock 10)
Achromobacter,0.33,0.42,3.88,1.82,3.48,1.75,0.93,2.15,0.43,0.12
Acinetobacter,0.19,0.10,0.32,0.16,0.06,0.01,0.00,0.03,1.92,0.08
Actinomyces,0.02,0.00,0.07,2.58,0.41,0.02,1.31,0.03,0.28,0.24
Alistipes,2.20,4.32,3.27,13.14,3.40,0.54,2.38,0.63,4.43,0.81
Bacillus,0.03,0.38,0.08,0.05,3.72,0.23,0.10,0.03,0.14,0.02
Bacteroides,6.05,2.20,14.27,13.91,8.39,2.73,3.51,9.61,2.82,4.77
Barnesiella,0.25,1.75,0.10,0.20,1.00,5.79,0.42,0.33,0.19,0.06
Bifidobacterium,1.59,1.69,6.34,3.14,2.74,5.77,18.14,8.43,9.26,8.31
Blautia,12.40,5.21,3.41,23.79,11.16,7.09,3.73,3.30,4.91,9.38
Butyricimonas,0.20,2.63,0.00,0.87,0.09,0.20,0.04,0.15,0.05,1.29
Citrobacter,0.27,0.34,0.00,0.03,0.04,0.12,0.01,0.08,0.03,0.04
Clostridium,22.00,8.22,18.68,13.79,11.71,35.11,8.75,10.33,13.99,8.26
Collinsella,0.64,2.82,7.15,1.44,0.68,4.49,1.21,0.39,2.99,0.86
Corynebacterium,0.03,0.34,0.09,0.01,0.08,0.05,0.33,0.50,0.50,0.04
Dorea,1.62,1.98,0.77,0.47,1.19,0.99,2.64,1.49,4.19,0.85
Enterobacter,9.55,2.97,0.12,0.08,0.25,0.28,1.13,0.31,0.32,1.33
Enterococcus,14.53,34.39,4.96,3.87,24.08,9.00,7.47,11.42,7.82,38.17
Eubacterium,0.72,1.11,0.37,0.53,0.45,0.30,0.66,2.01,0.08,0.03
Exiguobacterium,0.22,0.36,0.50,0.36,0.51,0.42,1.13,1.07,4.41,1.47
Faecalibacterium,0.12,0.27,0.27,1.41,0.74,0.44,9.39,0.13,0.25,0.03
Klebsiella,1.91,0.86,1.92,1.31,1.49,3.33,2.68,12.73,16.84,2.43
Lachnospira,0.30,2.19,0.07,0.21,0.12,0.15,0.04,0.02,0.04,0.23
Lactobacillus,17.08,11.04,22.35,7.53,5.33,5.41,18.37,5.21,7.59,13.04
Leuconostoc,0.06,0.98,0.04,0.05,0.29,0.02,0.03,0.48,0.01,0.51
Megasphaera,0.01,0.01,1.92,0.54,0.11,0.00,0.00,0.00,0.03,0.01
Odoribacter,0.17,1.40,0.18,1.39,9.86,1.46,0.57,8.97,0.32,0.67
Parabacteroides,0.06,0.00,0.21,0.00,0.01,0.00,0.10,0.01,0.23,0.22
Pediococcus,0.62,3.31,0.11,0.29,0.99,3.47,1.97,1.41,1.99,2.80
Peptoniphilus,0.02,0.10,0.86,0.16,2.15,0.55,0.07,0.27,5.78,0.43
Prevotella,0.01,0.01,0.02,0.07,0.09,0.10,0.11,0.15,0.00,0.01
Roseburia,2.61,2.78,0.65,0.11,0.87,0.77,0.80,0.49,0.31,1.68
Ruminococcus,0.84,3.75,4.00,2.37,2.03,3.88,5.20,2.19,0.28,0.55
Staphylococcus,1.94,0.08,0.33,0.16,0.65,1.74,1.82,10.01,0.50,0.40
Streptococcus,1.07,1.95,2.50,4.02,1.75,2.56,4.63,5.15,5.61,0.74
Sutterella,0.33,0.03,0.16,0.13,0.07,1.20,0.34,0.51,1.46,0.15
