Supplementary Table S5. True relative abundance of  14 species members of the ten mock communities shared by the database of nine species classification tools,,,,,,,,,,
Species,Abundance (mock 01),Abundance (mock 02),Abundance (mock 03),Abundance (mock 04),Abundance (mock 05),Abundance (mock 06),Abundance (mock 07),Abundance (mock 08),Abundance (mock 09),Abundance (mock 10)
Bacteroides caccae,1.09,0.06,0.00,0.02,0.06,0.01,0.02,0.01,0.01,0.74
Bacteroides fragilis,0.12,0.23,0.68,0.24,0.84,0.05,0.34,0.02,0.02,0.00
Bacteroides ovatus,1.21,0.10,11.72,10.30,0.72,0.02,0.04,0.11,0.18,0.13
Bifidobacterium bifidum,0.37,0.05,0.06,0.00,0.01,0.13,5.39,0.28,0.00,0.08
Bifidobacterium breve,0.17,0.08,0.00,0.02,0.16,0.24,0.01,0.09,0.60,0.03
Bifidobacterium longum,0.01,0.09,0.14,1.85,0.07,0.11,0.22,0.16,6.06,0.16
Citrobacter freundii,0.27,0.34,0.00,0.03,0.04,0.12,0.01,0.08,0.03,0.04
Enterococcus faecium,1.88,0.28,0.16,1.21,1.37,1.68,1.71,0.43,0.64,18.78
Lactobacillus paracasei,0.54,0.02,1.16,0.15,1.15,0.02,0.02,0.06,0.32,0.27
Lactobacillus rhamnosus,0.31,0.25,14.82,3.29,0.06,0.20,0.77,0.04,0.46,0.06
Lactobacillus ruminis,1.63,1.61,0.04,0.02,0.04,0.23,0.31,0.13,5.02,0.07
Leuconostoc mesenteroides,0.00,0.66,0.03,0.02,0.02,0.00,0.02,0.38,0.00,0.04
Pediococcus acidilactici,0.62,3.31,0.11,0.29,0.99,3.47,1.97,1.41,1.99,2.80
Streptococcus anginosus,0.05,0.12,0.43,0.73,0.01,0.12,0.11,2.24,3.15,0.03
