"Supplementary Table S11. Read-level specificity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT1000,0.452,0.927,0.974,0.981,0.965
MAG-GUT1001,0.513,0.929,0.980,0.982,0.954
MAG-GUT10080,0.446,0.879,0.938,0.942,0.935
MAG-GUT10094,0.377,0.845,0.895,0.913,0.902
MAG-GUT10102,0.384,0.829,0.893,0.909,0.896
MAG-GUT10109,0.479,0.962,0.990,0.993,0.989
MAG-GUT10126,0.324,0.769,0.857,0.873,0.870
MAG-GUT1012,0.452,0.883,0.936,0.949,0.927
MAG-GUT10153,0.346,0.934,0.972,0.978,0.980
MAG-GUT1016,0.235,0.786,0.879,0.905,0.897
MAG-GUT10181,0.684,0.988,0.998,0.999,0.998
MAG-GUT10183,0.357,0.871,0.939,0.949,0.948
MAG-GUT1018,0.566,0.810,0.832,0.822,0.674
MAG-GUT1024,0.393,0.886,0.950,0.963,0.927
MAG-GUT10262,0.183,0.921,0.982,0.987,0.982
MAG-GUT1026,0.527,0.934,0.973,0.982,0.953
MAG-GUT10270,0.537,0.893,0.914,0.921,0.917
MAG-GUT1029,0.483,0.955,0.993,0.997,0.991
MAG-GUT1033,0.552,0.937,0.977,0.981,0.956
MAG-GUT10345,0.470,0.882,0.940,0.958,0.938
MAG-GUT10346,0.826,0.975,0.988,0.990,0.982
MAG-GUT10359,0.288,0.740,0.718,0.690,0.513
MAG-GUT1036,0.458,0.964,0.994,0.996,0.989
MAG-GUT10374,0.588,0.964,0.988,0.991,0.992
MAG-GUT10376,0.382,0.843,0.886,0.902,0.917
MAG-GUT1037,0.425,0.965,0.993,0.996,0.990
MAG-GUT10398,0.550,0.886,0.920,0.930,0.920
MAG-GUT103,0.611,0.958,0.979,0.980,0.959
MAG-GUT10417,0.535,0.912,0.955,0.958,0.944
MAG-GUT10454,0.483,0.895,0.956,0.959,0.950
MAG-GUT10478,0.564,0.976,0.992,0.994,0.990
MAG-GUT1047,0.450,0.962,0.994,0.997,0.990
MAG-GUT10488,0.694,0.927,0.953,0.945,0.883
MAG-GUT1049,0.570,0.834,0.832,0.814,0.677
MAG-GUT1050,0.555,0.816,0.825,0.812,0.669
MAG-GUT10512,0.392,0.841,0.911,0.914,0.894
MAG-GUT1052,0.422,0.959,0.993,0.996,0.989
MAG-GUT10537,0.325,0.814,0.858,0.868,0.898
MAG-GUT10541,0.512,0.939,0.954,0.960,0.937
MAG-GUT1054,0.372,0.865,0.936,0.950,0.905
MAG-GUT1055,0.493,0.952,0.990,0.994,0.985
MAG-GUT10562,0.338,0.925,0.968,0.977,0.979
MAG-GUT10584,0.520,0.914,0.963,0.964,0.948
MAG-GUT10593,0.713,0.988,0.996,0.996,0.995
MAG-GUT10599,0.597,0.934,0.970,0.981,0.975
MAG-GUT1059,0.390,0.860,0.940,0.957,0.909
MAG-GUT10606,0.537,0.905,0.949,0.959,0.953
MAG-GUT10612,0.375,0.807,0.873,0.892,0.905
MAG-GUT10617,0.396,0.830,0.883,0.888,0.910
MAG-GUT10625,0.555,0.888,0.923,0.927,0.924
MAG-GUT10629,0.546,0.932,0.966,0.973,0.965
MAG-GUT1062,0.417,0.948,0.984,0.991,0.985
MAG-GUT10635,0.305,0.844,0.881,0.874,0.826
MAG-GUT10653,0.497,0.899,0.957,0.968,0.952
MAG-GUT1065,0.370,0.855,0.936,0.948,0.907
MAG-GUT10701,0.291,0.842,0.927,0.949,0.967
MAG-GUT10717,0.435,0.883,0.933,0.944,0.933
MAG-GUT10734,0.485,0.938,0.979,0.980,0.972
MAG-GUT1077,0.453,0.952,0.984,0.989,0.985
MAG-GUT10786,0.329,0.814,0.875,0.897,0.885
MAG-GUT10793,0.471,0.951,0.960,0.960,0.936
MAG-GUT10807,0.426,0.950,0.963,0.963,0.944
MAG-GUT1081,0.309,0.954,0.987,0.992,0.988
MAG-GUT1082,0.501,0.809,0.872,0.879,0.831
MAG-GUT10835,0.655,0.958,0.977,0.978,0.970
MAG-GUT10839,0.250,0.723,0.835,0.879,0.928
MAG-GUT10849,0.377,0.820,0.862,0.887,0.905
MAG-GUT10866,0.375,0.817,0.865,0.889,0.901
MAG-GUT1086,0.545,0.812,0.862,0.872,0.827
MAG-GUT10881,0.554,0.932,0.965,0.975,0.964
MAG-GUT10883,0.401,0.960,0.994,0.995,0.992
MAG-GUT1088,0.425,0.956,0.988,0.989,0.983
MAG-GUT1089,0.399,0.858,0.944,0.952,0.914
MAG-GUT10909,0.366,0.820,0.885,0.890,0.883
MAG-GUT10928,0.337,0.667,0.713,0.750,0.804
MAG-GUT10982,0.331,0.772,0.868,0.915,0.983
MAG-GUT11004,0.416,0.976,0.993,0.993,0.988
MAG-GUT11014,0.629,0.950,0.972,0.975,0.959
MAG-GUT11020,0.118,0.696,0.816,0.873,0.916
MAG-GUT11036,0.363,0.723,0.709,0.689,0.506
MAG-GUT11037,0.647,0.966,0.986,0.989,0.984
MAG-GUT1103,0.402,0.962,0.994,0.997,0.990
MAG-GUT11041,0.299,0.922,0.970,0.979,0.981
MAG-GUT11046,0.198,0.601,0.704,0.729,0.680
MAG-GUT11063,0.350,0.958,0.992,0.995,0.989
MAG-GUT11071,0.357,0.823,0.870,0.881,0.902
MAG-GUT11107,0.483,0.961,0.971,0.974,0.960
MAG-GUT11142,0.455,0.869,0.935,0.941,0.930
MAG-GUT11152,0.709,0.961,0.975,0.979,0.973
MAG-GUT11153,0.302,0.779,0.853,0.869,0.873
MAG-GUT11169,0.346,0.821,0.862,0.886,0.902
MAG-GUT11171,0.620,0.941,0.968,0.977,0.977
MAG-GUT11185,0.404,0.813,0.882,0.890,0.915
MAG-GUT11187,0.248,0.585,0.696,0.743,0.696
MAG-GUT11210,0.511,0.903,0.920,0.929,0.920
MAG-GUT1122,0.530,0.929,0.976,0.979,0.950
MAG-GUT11274,0.442,0.951,0.967,0.972,0.950
MAG-GUT1128,0.516,0.935,0.973,0.980,0.954
MAG-GUT11304,0.660,0.959,0.975,0.980,0.972
MAG-GUT11308,0.327,0.934,0.971,0.981,0.980
MAG-GUT1131,0.531,0.933,0.972,0.982,0.951
MAG-GUT11332,0.546,0.887,0.915,0.925,0.922
MAG-GUT1133,0.493,0.930,0.975,0.983,0.958
MAG-GUT1135,0.487,0.935,0.975,0.979,0.952
MAG-GUT11376,0.565,0.923,0.939,0.945,0.931
MAG-GUT11399,0.395,0.821,0.871,0.889,0.905
MAG-GUT1139,0.485,0.929,0.980,0.980,0.954
MAG-GUT11406,0.528,0.963,0.993,0.994,0.992
MAG-GUT11412,0.214,0.701,0.818,0.852,0.907
MAG-GUT11417,0.675,0.954,0.972,0.975,0.967
MAG-GUT11423,0.241,0.718,0.836,0.877,0.922
MAG-GUT11426,0.351,0.933,0.971,0.980,0.983
MAG-GUT11435,0.536,0.883,0.916,0.925,0.917
MAG-GUT1143,0.477,0.936,0.977,0.978,0.956
MAG-GUT11449,0.437,0.874,0.910,0.913,0.891
MAG-GUT11468,0.565,0.933,0.970,0.974,0.959
MAG-GUT1148,0.505,0.934,0.977,0.978,0.953
MAG-GUT1149,0.528,0.936,0.973,0.981,0.955
MAG-GUT11521,0.600,0.976,0.995,0.996,0.993
MAG-GUT11526,0.437,0.772,0.795,0.777,0.739
MAG-GUT11531,0.367,0.834,0.884,0.901,0.916
MAG-GUT11535,0.736,0.978,0.993,0.992,0.985
MAG-GUT11540,0.390,0.887,0.928,0.952,0.948
MAG-GUT11566,0.367,0.816,0.884,0.905,0.895
MAG-GUT1157,0.484,0.929,0.973,0.981,0.957
MAG-GUT11596,0.636,0.966,0.984,0.984,0.981
MAG-GUT1160,0.403,0.934,0.983,0.987,0.977
MAG-GUT11638,0.598,0.981,0.993,0.993,0.992
MAG-GUT11640,0.593,0.933,0.977,0.978,0.965
MAG-GUT11644,0.573,0.971,0.993,0.997,0.995
MAG-GUT11693,0.377,0.889,0.944,0.955,0.956
MAG-GUT1169,0.428,0.959,0.993,0.995,0.986
MAG-GUT1171,0.466,0.955,0.993,0.995,0.988
MAG-GUT11729,0.543,0.939,0.977,0.985,0.967
MAG-GUT1173,0.483,0.966,0.990,0.994,0.987
MAG-GUT11741,0.400,0.726,0.746,0.752,0.706
MAG-GUT11752,0.404,0.843,0.898,0.916,0.900
MAG-GUT11760,0.764,0.982,0.995,0.997,0.988
MAG-GUT1177,0.389,0.965,0.990,0.995,0.987
MAG-GUT11820,0.562,0.946,0.979,0.980,0.973
MAG-GUT11829,0.629,0.977,0.993,0.993,0.989
MAG-GUT11837,0.325,0.806,0.905,0.918,0.889
MAG-GUT11847,0.561,0.979,0.996,0.996,0.992
MAG-GUT1184,0.439,0.960,0.988,0.993,0.992
MAG-GUT11911,0.219,0.830,0.897,0.915,0.902
MAG-GUT11931,0.718,0.974,0.993,0.993,0.985
MAG-GUT11934,0.627,0.921,0.940,0.940,0.865
MAG-GUT11964,0.371,0.837,0.894,0.910,0.897
MAG-GUT1196,0.451,0.964,0.991,0.994,0.987
MAG-GUT11972,0.541,0.952,0.976,0.980,0.976
MAG-GUT11977,0.602,0.980,0.995,0.996,0.993
MAG-GUT1197,0.442,0.968,0.996,0.997,0.990
MAG-GUT1198,0.241,0.641,0.768,0.812,0.766
MAG-GUT12028,0.238,0.731,0.838,0.880,0.920
MAG-GUT12030,0.541,0.981,0.997,0.999,0.996
MAG-GUT12049,0.593,0.974,0.991,0.993,0.990
MAG-GUT12051,0.328,0.919,0.970,0.977,0.982
MAG-GUT12063,0.606,0.979,0.994,0.995,0.991
MAG-GUT1206,0.261,0.653,0.767,0.827,0.772
MAG-GUT12082,0.576,0.981,0.995,0.996,0.990
MAG-GUT12095,0.566,0.971,0.988,0.990,0.982
MAG-GUT12106,0.606,0.943,0.968,0.976,0.961
MAG-GUT1212,0.255,0.674,0.769,0.817,0.762
MAG-GUT1214,0.420,0.954,0.991,0.995,0.990
MAG-GUT12173,0.618,0.968,0.989,0.991,0.987
MAG-GUT1217,0.245,0.666,0.758,0.809,0.774
MAG-GUT12186,0.363,0.827,0.892,0.906,0.894
MAG-GUT12195,0.518,0.962,0.990,0.993,0.992
MAG-GUT12217,0.236,0.728,0.847,0.883,0.931
MAG-GUT12225,0.604,0.939,0.954,0.954,0.954
MAG-GUT12230,0.608,0.981,0.996,0.997,0.994
MAG-GUT12256,0.560,0.937,0.979,0.981,0.964
MAG-GUT12257,0.570,0.981,0.991,0.992,0.987
MAG-GUT12259,0.339,0.825,0.862,0.879,0.904
MAG-GUT12264,0.682,0.942,0.963,0.964,0.947
MAG-GUT12267,0.602,0.957,0.974,0.976,0.973
MAG-GUT12269,0.361,0.895,0.939,0.948,0.953
MAG-GUT1227,0.240,0.649,0.757,0.814,0.751
MAG-GUT1228,0.428,0.965,0.995,0.997,0.991
MAG-GUT12300,0.365,0.947,0.970,0.978,0.985
MAG-GUT12321,0.326,0.758,0.856,0.882,0.870
MAG-GUT1232,0.283,0.659,0.772,0.812,0.770
MAG-GUT12340,0.407,0.815,0.875,0.892,0.911
MAG-GUT12348,0.712,0.980,0.994,0.995,0.991
MAG-GUT12361,0.325,0.940,0.984,0.988,0.990
MAG-GUT1236,0.457,0.962,0.994,0.998,0.990
MAG-GUT12377,0.663,0.967,0.988,0.989,0.984
MAG-GUT12391,0.378,0.822,0.867,0.889,0.901
MAG-GUT12393,0.639,0.936,0.950,0.955,0.922
MAG-GUT1240,0.227,0.904,0.965,0.980,0.966
MAG-GUT1242,0.411,0.963,0.994,0.996,0.990
MAG-GUT1244,0.475,0.960,0.989,0.991,0.985
MAG-GUT12458,0.432,0.957,0.992,0.994,0.985
MAG-GUT1246,0.550,0.814,0.868,0.876,0.822
MAG-GUT12481,0.646,0.969,0.989,0.991,0.986
MAG-GUT12482,0.363,0.945,0.985,0.989,0.989
MAG-GUT1248,0.395,0.952,0.990,0.994,0.990
MAG-GUT1249,0.396,0.847,0.937,0.954,0.909
MAG-GUT12518,0.431,0.865,0.917,0.928,0.919
MAG-GUT1252,0.563,0.821,0.861,0.878,0.830
MAG-GUT12533,0.376,0.717,0.725,0.733,0.697
MAG-GUT1255,0.464,0.956,0.988,0.990,0.980
MAG-GUT12567,0.536,0.929,0.959,0.965,0.951
MAG-GUT1258,0.404,0.861,0.946,0.953,0.912
MAG-GUT12636,0.195,0.832,0.912,0.937,0.948
MAG-GUT1263,0.551,0.819,0.868,0.881,0.821
MAG-GUT12643,0.676,0.959,0.976,0.980,0.974
MAG-GUT12644,0.221,0.727,0.828,0.870,0.883
MAG-GUT12655,0.309,0.806,0.871,0.886,0.869
MAG-GUT1265,0.429,0.861,0.931,0.954,0.908
MAG-GUT1266,0.464,0.962,0.989,0.990,0.984
MAG-GUT12678,0.399,0.893,0.949,0.961,0.962
MAG-GUT12691,0.433,0.741,0.770,0.767,0.737
MAG-GUT1270,0.279,0.920,0.975,0.987,0.982
MAG-GUT12744,0.499,0.892,0.944,0.946,0.918
MAG-GUT1274,0.386,0.865,0.941,0.954,0.915
MAG-GUT12750,0.429,0.881,0.943,0.949,0.940
MAG-GUT12759,0.626,0.952,0.976,0.975,0.962
MAG-GUT1276,0.256,0.915,0.975,0.985,0.981
MAG-GUT12771,0.410,0.814,0.872,0.898,0.906
MAG-GUT12789,0.736,0.973,0.992,0.995,0.988
MAG-GUT12794,0.340,0.948,0.989,0.993,0.986
MAG-GUT12797,0.676,0.933,0.966,0.972,0.964
MAG-GUT1282,0.347,0.869,0.935,0.951,0.906
MAG-GUT1287,0.392,0.869,0.937,0.952,0.908
MAG-GUT1288,0.239,0.930,0.973,0.985,0.981
MAG-GUT12944,0.369,0.967,0.990,0.994,0.994
MAG-GUT12945,0.303,0.744,0.839,0.851,0.854
MAG-GUT12963,0.543,0.964,0.986,0.990,0.986
MAG-GUT1297,0.235,0.926,0.975,0.985,0.985
MAG-GUT12991,0.441,0.734,0.840,0.853,0.670
MAG-GUT12,0.206,0.624,0.716,0.757,0.700
MAG-GUT13038,0.688,0.973,0.991,0.993,0.977
MAG-GUT13040,0.355,0.810,0.869,0.881,0.895
MAG-GUT13045,0.538,0.864,0.895,0.903,0.893
MAG-GUT13049,0.725,0.898,0.936,0.934,0.878
MAG-GUT13125,0.306,0.831,0.869,0.886,0.911
MAG-GUT13136,0.555,0.972,0.985,0.989,0.987
MAG-GUT13150,0.334,0.935,0.970,0.980,0.982
MAG-GUT1315,0.403,0.728,0.735,0.740,0.657
MAG-GUT13170,0.482,0.733,0.836,0.852,0.662
MAG-GUT13177,0.292,0.761,0.836,0.865,0.857
MAG-GUT1318,0.457,0.961,0.988,0.995,0.988
MAG-GUT1319,0.393,0.960,0.992,0.996,0.985
MAG-GUT13227,0.790,0.968,0.986,0.986,0.982
MAG-GUT13230,0.607,0.966,0.989,0.991,0.990
MAG-GUT13251,0.415,0.827,0.907,0.927,0.917
MAG-GUT13273,0.332,0.914,0.956,0.965,0.963
MAG-GUT13285,0.308,0.666,0.699,0.722,0.688
MAG-GUT1328,0.407,0.961,0.992,0.995,0.988
MAG-GUT13293,0.513,0.874,0.924,0.934,0.937
MAG-GUT13322,0.526,0.967,0.986,0.993,0.986
MAG-GUT13333,0.382,0.735,0.760,0.761,0.715
MAG-GUT13342,0.747,0.943,0.966,0.969,0.953
MAG-GUT13363,0.425,0.882,0.933,0.948,0.933
MAG-GUT1336,0.443,0.740,0.745,0.744,0.678
MAG-GUT13422,0.421,0.874,0.930,0.935,0.925
MAG-GUT13424,0.335,0.667,0.701,0.711,0.698
MAG-GUT13441,0.382,0.803,0.853,0.866,0.892
MAG-GUT13451,0.292,0.919,0.962,0.966,0.971
MAG-GUT13478,0.433,0.864,0.923,0.934,0.917
MAG-GUT13480,0.391,0.968,0.992,0.994,0.994
MAG-GUT13549,0.697,0.972,0.990,0.993,0.989
MAG-GUT1355,0.573,0.821,0.823,0.809,0.687
MAG-GUT1362,0.432,0.959,0.993,0.996,0.990
MAG-GUT13633,0.333,0.812,0.864,0.884,0.905
MAG-GUT13637,0.482,0.766,0.864,0.881,0.707
MAG-GUT13646,0.383,0.721,0.721,0.726,0.712
