"Supplementary Table S10. Read-level sensitivity of different model architectures on variable-length reads simulated from 3,269 MAGs excluded from training",,,,,,,
MAG_ID_ENA,ResNet-like CNN,CNN + LSTM,Seq2species,Embed + Pool,Embed + CNN,Embed + LSTM,Embed + LSTM + Attention
MAG-GUT1000,0.000,0.000,0.000,0.115,0.039,0.170,0.455
MAG-GUT1001,0.000,0.001,0.001,0.102,0.019,0.218,0.522
MAG-GUT10080,0.000,0.000,0.000,0.001,0.000,0.015,0.324
MAG-GUT10094,0.000,0.000,0.000,0.072,0.007,0.149,0.397
MAG-GUT10102,0.000,0.000,0.000,0.076,0.007,0.151,0.417
MAG-GUT10109,0.000,0.000,0.000,0.007,0.003,0.037,0.338
MAG-GUT10126,0.000,0.000,0.000,0.006,0.000,0.038,0.214
MAG-GUT1012,0.000,0.000,0.000,0.082,0.008,0.198,0.537
MAG-GUT10153,0.000,0.000,0.000,0.012,0.002,0.027,0.254
MAG-GUT1016,0.000,0.000,0.000,0.001,0.000,0.018,0.269
MAG-GUT10181,0.000,0.001,0.029,0.291,0.224,0.506,0.816
MAG-GUT10183,0.000,0.000,0.000,0.018,0.000,0.072,0.373
MAG-GUT1018,0.000,0.000,0.000,0.030,0.003,0.081,0.297
MAG-GUT1024,0.000,0.000,0.000,0.012,0.003,0.037,0.256
MAG-GUT10262,0.000,0.000,0.000,0.009,0.000,0.039,0.309
MAG-GUT1026,0.000,0.001,0.001,0.106,0.018,0.210,0.529
MAG-GUT10270,0.000,0.000,0.000,0.072,0.003,0.197,0.664
MAG-GUT1029,0.000,0.000,0.000,0.021,0.004,0.125,0.480
MAG-GUT1033,0.000,0.000,0.001,0.098,0.016,0.209,0.518
MAG-GUT10345,0.000,0.000,0.000,0.001,0.000,0.018,0.351
MAG-GUT10346,0.000,0.003,0.008,0.181,0.031,0.415,0.760
MAG-GUT10359,0.000,0.000,0.000,0.001,0.000,0.014,0.257
MAG-GUT1036,0.000,0.000,0.000,0.020,0.003,0.122,0.465
MAG-GUT10374,0.000,0.001,0.036,0.156,0.083,0.279,0.509
MAG-GUT10376,0.000,0.000,0.000,0.006,0.000,0.030,0.302
MAG-GUT1037,0.000,0.000,0.000,0.020,0.004,0.123,0.465
MAG-GUT10398,0.000,0.000,0.000,0.077,0.002,0.210,0.690
MAG-GUT103,0.000,0.000,0.000,0.093,0.010,0.170,0.383
MAG-GUT10417,0.000,0.016,0.030,0.136,0.023,0.232,0.410
MAG-GUT10454,0.000,0.000,0.000,0.125,0.021,0.195,0.445
MAG-GUT10478,0.000,0.000,0.001,0.044,0.020,0.158,0.480
MAG-GUT1047,0.000,0.000,0.000,0.020,0.003,0.114,0.442
MAG-GUT10488,0.000,0.000,0.000,0.062,0.006,0.199,0.530
MAG-GUT1049,0.000,0.000,0.000,0.031,0.004,0.078,0.283
MAG-GUT1050,0.000,0.000,0.000,0.031,0.005,0.083,0.290
MAG-GUT10512,0.000,0.000,0.000,0.030,0.011,0.131,0.400
MAG-GUT1052,0.000,0.000,0.000,0.018,0.004,0.115,0.462
MAG-GUT10537,0.000,0.000,0.000,0.005,0.001,0.032,0.277
MAG-GUT10541,0.000,0.000,0.000,0.005,0.000,0.043,0.335
MAG-GUT1054,0.000,0.000,0.001,0.049,0.006,0.104,0.292
MAG-GUT1055,0.000,0.000,0.000,0.020,0.003,0.123,0.469
MAG-GUT10562,0.000,0.000,0.000,0.014,0.002,0.031,0.259
MAG-GUT10584,0.000,0.000,0.000,0.136,0.022,0.224,0.498
MAG-GUT10593,0.000,0.000,0.002,0.334,0.187,0.580,0.869
MAG-GUT10599,0.000,0.000,0.003,0.279,0.110,0.529,0.814
MAG-GUT1059,0.000,0.000,0.002,0.050,0.005,0.106,0.305
MAG-GUT10606,0.000,0.000,0.000,0.143,0.027,0.231,0.494
MAG-GUT10612,0.000,0.000,0.000,0.007,0.001,0.033,0.271
MAG-GUT10617,0.000,0.000,0.000,0.007,0.001,0.035,0.291
MAG-GUT10625,0.000,0.000,0.000,0.077,0.004,0.199,0.676
MAG-GUT10629,0.000,0.000,0.000,0.167,0.032,0.269,0.553
MAG-GUT1062,0.000,0.000,0.000,0.019,0.004,0.122,0.463
MAG-GUT10635,0.000,0.000,0.000,0.010,0.000,0.089,0.348
MAG-GUT10653,0.000,0.000,0.000,0.134,0.022,0.219,0.481
MAG-GUT1065,0.000,0.001,0.002,0.052,0.005,0.103,0.296
MAG-GUT10701,0.000,0.000,0.000,0.000,0.000,0.019,0.327
MAG-GUT10717,0.000,0.000,0.000,0.001,0.000,0.015,0.332
MAG-GUT10734,0.000,0.000,0.000,0.049,0.006,0.169,0.416
MAG-GUT1077,0.000,0.000,0.000,0.019,0.004,0.118,0.460
MAG-GUT10786,0.000,0.000,0.000,0.007,0.000,0.041,0.231
MAG-GUT10793,0.000,0.000,0.000,0.007,0.000,0.042,0.351
MAG-GUT10807,0.000,0.000,0.000,0.006,0.000,0.046,0.370
MAG-GUT1081,0.000,0.000,0.000,0.007,0.000,0.090,0.418
MAG-GUT1082,0.000,0.000,0.000,0.058,0.003,0.150,0.581
MAG-GUT10835,0.000,0.002,0.014,0.170,0.039,0.245,0.400
MAG-GUT10839,0.000,0.000,0.000,0.039,0.000,0.126,0.502
MAG-GUT10849,0.000,0.000,0.000,0.006,0.000,0.034,0.298
MAG-GUT10866,0.000,0.000,0.000,0.008,0.001,0.039,0.292
MAG-GUT1086,0.000,0.000,0.000,0.052,0.001,0.148,0.567
