"Supplementary Table S6. False positive species classification of different tools on data sets generated by simulating 1x coverage reads using 121 genomes from species not included in RefSeq database or training (query aligned = 10-60%, ANI < 95%) ",,,,,,,,,,
Genome assembly,Kraken classified (%),Kraken 2 classified (%),CLARK classified (%),CLARK-S classified (%),DeepMicrobes classified (%),# of Kraken species,# of Kraken 2 speices,# of CLARK species,# of CLARK-S species,# of DeepMicrobes species
GCA_002292065.1_ASM229206v1,10.55,15.11,31.36,22.02,0.94,39,122,119,55,38
GCA_002293435.1_ASM229343v1,2.65,3.51,9.03,12.41,0.15,30,90,99,52,20
GCA_002296735.1_ASM229673v1,14.05,11.28,36.55,20.62,2.81,46,75,150,28,26
GCA_002297405.1_ASM229740v1,13.52,12.41,38.46,22.51,3.09,37,59,103,24,21
GCA_002298605.1_ASM229860v1,6.81,6.81,21.47,12.23,1.17,54,96,156,49,28
GCA_002298645.1_ASM229864v1,13.57,11.86,36.93,21.03,2.98,44,62,125,29,29
GCA_002298805.1_ASM229880v1,13.43,13.68,47.92,13.09,0.44,173,252,391,138,28
GCA_002299595.1_ASM229959v1,12.04,11.98,42.27,12.73,0.86,180,294,451,147,31
GCA_002300045.1_ASM230004v1,7.07,8.00,19.96,15.05,3.80,53,85,128,62,25
GCA_002305035.1_ASM230503v1,3.92,4.72,13.56,14.71,2.29,67,122,222,112,55
GCA_002308415.1_ASM230841v1,15.67,15.00,51.21,14.57,0.36,146,227,318,115,26
GCA_002311155.1_ASM231115v1,3.65,4.49,9.04,15.94,0.65,22,82,91,44,22
GCA_002313695.1_ASM231369v1,12.73,12.82,37.03,20.00,2.86,45,66,108,28,24
GCA_002313795.1_ASM231379v1,0.65,8.66,23.10,43.70,1.91,32,53,89,22,39
GCA_002313975.1_ASM231397v1,5.46,5.36,18.81,13.08,1.07,50,88,145,59,27
GCA_002321405.1_ASM232140v1,12.66,11.46,34.72,21.17,2.63,38,72,124,31,31
GCA_002321695.1_ASM232169v1,11.98,12.31,41.81,13.95,0.34,165,257,385,156,25
GCA_002321735.1_ASM232173v1,13.88,13.64,48.29,13.83,0.45,152,234,347,139,27
GCA_002322185.1_ASM232218v1,13.55,13.09,48.58,12.20,0.37,154,233,366,131,19
GCA_002324955.1_ASM232495v1,8.57,16.55,32.53,21.08,2.96,50,92,132,44,27
GCA_002324965.1_ASM232496v1,12.71,12.50,45.83,12.62,0.41,164,228,370,142,23
GCA_002329155.1_ASM232915v1,14.43,12.17,46.33,25.54,2.82,130,213,360,113,41
GCA_002331645.1_ASM233164v1,21.03,18.86,48.92,45.02,1.42,149,274,403,93,55
GCA_002331915.1_ASM233191v1,12.68,12.80,46.01,12.50,0.45,164,232,386,145,24
GCA_002333245.1_ASM233324v1,17.99,27.96,51.97,41.73,2.72,42,98,102,44,17
GCA_002337935.1_ASM233793v1,4.53,5.89,10.45,9.90,1.24,56,110,161,113,29
GCA_002339505.1_ASM233950v1,10.11,10.83,30.37,14.54,3.47,125,200,335,127,43
GCA_002340885.1_ASM234088v1,7.58,10.99,27.22,13.82,1.24,42,81,117,42,28
GCA_002341985.1_ASM234198v1,15.53,15.55,51.16,14.68,0.38,144,220,313,117,25
GCA_002345545.1_ASM234554v1,15.88,13.91,49.03,28.23,2.85,126,209,354,103,38
GCA_002345845.1_ASM234584v1,6.73,8.12,23.23,19.49,1.59,254,371,590,292,42
GCA_002354345.1_ASM235434v1,29.96,23.80,62.17,54.10,3.31,225,306,438,129,40
GCA_002354655.1_ASM235465v1,16.99,15.61,51.48,19.80,2.47,204,310,445,128,44
GCA_002359495.1_ASM235949v1,10.18,10.52,37.95,12.43,0.80,181,276,465,135,31
GCA_002359895.1_ASM235989v1,9.65,8.97,34.69,22.17,1.53,146,220,387,122,34
GCA_002360305.1_ASM236030v1,8.22,9.28,21.51,15.43,4.41,50,105,121,61,27
GCA_002362915.1_ASM236291v1,26.56,21.04,59.25,50.53,3.25,223,336,464,163,44
GCA_002364635.1_ASM236463v1,15.30,13.50,49.11,16.24,4.08,247,353,541,194,46
GCA_002365525.1_ASM236552v1,14.21,15.17,50.68,16.07,0.33,165,243,356,130,26
GCA_002365595.1_ASM236559v1,9.18,12.72,31.27,15.91,1.03,55,120,160,52,28
GCA_002365705.1_ASM236570v1,12.87,13.10,46.95,12.42,0.64,136,229,316,128,23
GCA_002365815.1_ASM236581v1,13.58,14.01,47.33,16.46,0.62,147,234,343,121,23
GCA_002367105.1_ASM236710v1,6.84,41.51,16.91,32.66,0.15,42,64,123,72,26
GCA_002377245.1_ASM237724v1,12.99,11.83,37.42,13.58,0.29,141,247,327,135,25
GCA_002377775.1_ASM237777v1,1.92,5.58,12.32,15.97,0.66,59,120,169,92,30
GCA_002378325.1_ASM237832v1,13.26,13.13,47.61,11.91,0.43,161,238,358,140,27
GCA_002379505.1_ASM237950v1,74.60,66.22,34.25,22.84,1.35,21,56,121,43,34
GCA_002379585.1_ASM237958v1,14.61,13.77,44.29,17.94,2.29,203,290,432,158,55
GCA_002380745.1_ASM238074v1,2.09,3.25,7.19,7.02,0.78,40,101,143,94,32
GCA_002386745.1_ASM238674v1,12.69,13.08,47.16,12.24,0.43,166,241,372,118,21
GCA_002387015.1_ASM238701v1,6.57,26.90,16.59,31.93,0.18,36,90,110,70,24
GCA_002387205.1_ASM238720v1,16.44,14.71,45.24,49.14,1.07,190,284,410,90,44
GCA_002387845.1_ASM238784v1,18.54,14.34,47.83,25.35,2.70,134,229,342,85,47
GCA_002390855.1_ASM239085v1,15.53,15.28,49.91,15.21,0.32,150,245,332,132,22
GCA_002391805.1_ASM239180v1,12.63,12.88,46.29,12.46,0.43,158,236,380,137,28
GCA_002391985.1_ASM239198v1,26.30,21.36,58.58,50.39,3.16,216,336,454,123,41
GCA_002398875.1_ASM239887v1,3.00,3.57,7.31,14.09,0.23,19,70,69,58,10
GCA_002403705.1_ASM240370v1,12.42,12.55,45.76,12.31,0.48,175,251,379,133,28
GCA_002404655.1_ASM240465v1,0.64,9.47,26.05,47.83,1.62,30,56,79,20,29
GCA_002405085.1_ASM240508v1,13.24,12.19,37.19,21.22,2.89,46,79,125,29,26
GCA_002405975.1_ASM240597v1,12.90,11.16,35.43,20.29,2.75,37,70,150,30,30
GCA_002407685.1_ASM240768v1,3.35,3.73,7.51,14.21,0.40,23,65,84,55,6
GCA_002407785.1_ASM240778v1,4.92,5.97,14.50,19.55,3.16,39,74,123,69,50
GCA_002409765.1_ASM240976v1,3.05,3.60,7.44,13.68,0.47,20,53,57,40,12
GCA_002410055.1_ASM241005v1,2.62,3.09,5.95,13.31,0.24,23,61,53,43,10
GCA_002410465.1_ASM241046v1,2.91,3.41,8.09,15.71,0.21,13,46,65,56,8
GCA_002413945.1_ASM241394v1,12.33,11.99,44.76,10.90,0.51,154,268,402,144,28
GCA_002418465.1_ASM241846v1,16.32,14.10,49.50,15.15,4.64,238,358,515,187,40
GCA_002420685.1_ASM242068v1,17.49,14.11,45.41,26.26,1.91,125,223,315,92,40
GCA_002421005.1_ASM242100v1,12.85,12.75,44.31,11.74,0.32,167,263,362,150,26
GCA_002423735.1_ASM242373v1,2.34,3.32,7.47,6.96,0.96,43,107,150,86,28
GCA_002424205.1_ASM242420v1,3.11,3.47,7.29,13.90,0.23,17,62,71,58,11
GCA_002425245.1_ASM242524v1,7.90,8.55,27.51,16.11,2.15,233,339,541,259,36
GCA_002426385.1_ASM242638v1,2.84,3.73,7.05,13.70,0.29,15,72,76,67,14
GCA_002428165.1_ASM242816v1,12.86,12.99,45.70,12.32,0.31,173,254,378,135,24
GCA_002428825.1_ASM242882v1,4.74,4.80,11.04,24.34,1.20,40,74,176,72,32
GCA_002429615.1_ASM242961v1,14.51,11.94,46.73,17.36,5.54,160,273,401,151,39
GCA_002429695.1_ASM242969v1,12.74,13.08,45.06,12.72,0.41,133,186,292,124,19
GCA_002430365.1_ASM243036v1,15.11,15.32,50.79,14.96,0.28,151,234,319,119,24
GCA_002430855.1_ASM243085v1,9.05,12.66,29.92,16.93,1.18,58,115,147,48,30
GCA_002431005.1_ASM243100v1,6.66,9.74,24.66,11.60,0.78,51,115,145,42,33
