"Supplementary Table S9. Read-level specificity of different model architectures on variable-length reads simulated from 3,269 MAGs excluded from training",,,,,,,
MAG_ID_ENA,ResNet-like CNN,CNN + LSTM,Seq2species,Embed + Pool,Embed + CNN,Embed + LSTM,Embed + LSTM + Attention
MAG-GUT1000,0.000,0.000,0.000,0.998,1.000,0.995,0.992
MAG-GUT1001,0.000,1.000,0.875,0.997,1.000,0.999,0.991
MAG-GUT10080,0.000,0.000,0.000,0.185,0.000,0.830,0.958
MAG-GUT10094,0.000,0.000,0.000,0.982,0.890,0.945,0.932
MAG-GUT10102,0.000,1.000,0.500,0.975,0.900,0.936,0.934
MAG-GUT10109,0.000,0.000,0.000,1.000,1.000,1.000,0.996
MAG-GUT10126,0.000,0.000,0.000,0.733,0.571,0.878,0.882
MAG-GUT1012,0.000,0.000,0.000,0.996,1.000,0.995,0.972
MAG-GUT10153,0.000,0.000,0.000,0.906,0.680,0.944,0.980
MAG-GUT1016,0.000,0.000,0.000,0.110,0.000,0.593,0.903
MAG-GUT10181,0.000,1.000,1.000,0.999,1.000,0.999,0.999
MAG-GUT10183,0.000,0.200,0.000,0.837,0.190,0.916,0.964
MAG-GUT1018,0.000,0.000,0.000,0.855,0.892,0.856,0.846
MAG-GUT1024,0.000,0.000,0.000,0.975,0.964,0.974,0.983
MAG-GUT10262,0.000,0.000,1.000,0.989,0.800,0.985,0.987
MAG-GUT1026,0.000,1.000,0.900,0.994,0.984,0.993,0.988
MAG-GUT10270,0.000,0.000,0.333,0.936,0.833,0.874,0.939
MAG-GUT1029,0.000,0.000,0.000,1.000,1.000,0.999,0.999
MAG-GUT1033,0.000,1.000,1.000,0.992,0.981,0.993,0.989
MAG-GUT10345,0.000,0.000,0.000,0.259,0.000,0.859,0.973
MAG-GUT10346,0.000,1.000,0.964,0.983,0.948,0.995,0.994
MAG-GUT10359,0.000,0.000,0.000,0.833,0.000,0.712,0.769
MAG-GUT1036,0.000,0.000,0.000,1.000,1.000,0.999,0.998
MAG-GUT10374,0.000,1.000,1.000,0.995,0.998,0.995,0.992
MAG-GUT10376,0.000,0.000,0.250,0.275,0.103,0.451,0.906
MAG-GUT1037,0.000,0.000,0.000,1.000,1.000,0.999,0.998
MAG-GUT10398,0.000,0.000,0.500,0.922,0.688,0.894,0.948
MAG-GUT103,0.000,0.000,0.000,0.997,1.000,0.995,0.990
MAG-GUT10417,0.000,1.000,0.940,0.968,0.884,0.974,0.964
MAG-GUT10454,0.000,0.000,1.000,0.997,0.995,0.988,0.970
MAG-GUT10478,0.000,0.000,1.000,0.996,1.000,0.999,0.998
MAG-GUT1047,0.000,0.000,0.000,1.000,1.000,0.999,0.999
MAG-GUT10488,0.000,0.000,0.500,0.976,1.000,0.987,0.964
MAG-GUT1049,0.000,0.000,0.000,0.872,0.814,0.864,0.833
MAG-GUT1050,0.000,0.000,0.000,0.870,0.906,0.862,0.825
MAG-GUT10512,0.000,0.000,1.000,0.796,0.909,0.914,0.927
MAG-GUT1052,0.000,0.000,0.000,1.000,1.000,0.999,0.998
MAG-GUT10537,0.000,0.000,0.400,0.213,0.258,0.498,0.891
MAG-GUT10541,0.000,0.000,1.000,0.768,0.000,0.940,0.971
MAG-GUT1054,0.000,1.000,0.615,0.984,0.967,0.978,0.964
MAG-GUT1055,0.000,0.000,0.000,1.000,1.000,0.999,0.997
MAG-GUT10562,0.000,0.000,0.000,0.986,0.905,0.963,0.978
MAG-GUT10584,0.000,1.000,1.000,0.986,0.974,0.983,0.979
MAG-GUT10593,0.000,1.000,0.913,0.993,0.991,0.994,0.996
MAG-GUT10599,0.000,0.500,0.676,0.977,0.980,0.981,0.986
MAG-GUT1059,0.000,1.000,0.958,0.980,0.981,0.981,0.973
MAG-GUT10606,0.000,0.000,1.000,0.984,0.975,0.978,0.971
MAG-GUT10612,0.000,0.000,0.500,0.270,0.250,0.502,0.902
MAG-GUT10617,0.000,0.000,0.375,0.245,0.119,0.488,0.894
MAG-GUT10625,0.000,0.000,1.000,0.942,0.822,0.876,0.940
MAG-GUT10629,0.000,1.000,1.000,0.992,1.000,0.991,0.980
MAG-GUT1062,0.000,0.000,0.000,0.995,0.974,0.999,0.994
MAG-GUT10635,0.000,0.000,0.000,0.865,0.000,0.955,0.920
MAG-GUT10653,0.000,0.000,1.000,0.996,0.986,0.989,0.981
MAG-GUT1065,0.000,1.000,0.941,0.985,0.964,0.978,0.966
MAG-GUT10701,0.000,0.000,0.000,0.176,0.000,0.794,0.955
MAG-GUT10717,0.000,0.000,0.000,0.227,0.000,0.799,0.955
MAG-GUT10734,0.000,0.000,0.000,0.976,0.983,0.991,0.986
MAG-GUT1077,0.000,0.000,0.000,0.995,0.975,0.997,0.994
MAG-GUT10786,0.000,0.000,0.000,0.897,0.750,0.930,0.914
MAG-GUT10793,0.000,0.000,1.000,0.872,0.333,0.981,0.979
MAG-GUT10807,0.000,0.000,0.000,0.889,0.400,0.974,0.979
MAG-GUT1081,0.000,0.000,0.000,0.973,1.000,0.993,0.998
MAG-GUT1082,0.000,0.000,0.000,0.919,0.600,0.875,0.894
MAG-GUT10835,0.000,1.000,1.000,0.995,0.982,0.993,0.983
MAG-GUT10839,0.000,0.000,0.000,0.696,0.000,0.819,0.903
MAG-GUT10849,0.000,0.000,0.500,0.219,0.026,0.494,0.896
MAG-GUT10866,0.000,0.000,0.429,0.293,0.235,0.548,0.903
MAG-GUT1086,0.000,0.000,0.000,0.859,0.429,0.857,0.896
MAG-GUT10881,0.000,0.000,1.000,0.992,0.988,0.989,0.985
MAG-GUT10883,0.000,0.000,0.000,1.000,1.000,0.998,0.998
MAG-GUT1088,0.000,0.000,1.000,0.987,1.000,0.994,0.993
MAG-GUT1089,0.000,1.000,1.000,0.991,0.979,0.989,0.972
MAG-GUT10909,0.000,0.000,0.333,0.979,0.893,0.935,0.918
MAG-GUT10928,0.000,0.000,0.000,0.435,0.045,0.692,0.759
MAG-GUT10982,0.000,0.000,0.111,0.594,0.014,0.738,0.906
MAG-GUT11004,0.000,0.000,0.000,1.000,0.000,1.000,0.996
MAG-GUT11014,0.000,1.000,1.000,0.977,0.870,0.988,0.984
MAG-GUT11020,0.000,0.000,0.000,0.902,0.250,0.929,0.891
MAG-GUT11036,0.000,0.000,0.000,0.933,0.000,0.751,0.753
MAG-GUT11037,0.000,0.000,0.000,0.999,1.000,0.997,0.993
MAG-GUT1103,0.000,0.000,0.000,1.000,1.000,1.000,0.999
MAG-GUT11041,0.000,0.000,0.000,0.896,0.542,0.892,0.978
MAG-GUT11046,0.000,0.000,0.000,0.976,1.000,0.983,0.870
MAG-GUT11063,0.000,0.000,0.000,0.993,1.000,0.995,0.998
MAG-GUT11071,0.000,0.000,0.500,0.257,0.147,0.494,0.887
MAG-GUT11107,0.000,0.000,1.000,0.923,0.375,0.982,0.984
MAG-GUT11142,0.000,0.000,0.000,0.231,0.000,0.850,0.950
MAG-GUT11152,0.000,1.000,1.000,0.996,0.990,0.997,0.987
MAG-GUT11153,0.000,0.000,0.000,0.746,0.500,0.849,0.894
MAG-GUT11169,0.000,0.000,0.833,0.192,0.000,0.446,0.885
MAG-GUT11171,0.000,1.000,1.000,0.942,0.500,0.960,0.983
